sigma1	sigma2	posterior
-8.000000000000000383e-04	9.000000000000000000e+04	1.707955038938872993e-274
-8.000000000000000383e-04	9.500000000000000000e+04	2.133280271394599175e-273
-8.000000000000000383e-04	1.000000000000000000e+05	2.650090976026609764e-272
-8.000000000000000383e-04	1.050000000000000000e+05	3.274274099049012763e-271
-8.000000000000000383e-04	1.100000000000000000e+05	4.023561696680157465e-270
-8.000000000000000383e-04	1.150000000000000000e+05	4.917537504002542162e-269
-8.000000000000000383e-04	1.200000000000000000e+05	5.977589392741118336e-268
-8.000000000000000383e-04	1.250000000000000000e+05	7.226797097926485519e-267
-8.000000000000000383e-04	1.300000000000000000e+05	8.689744885479022463e-266
-8.000000000000000383e-04	1.350000000000000000e+05	1.039224973733285288e-264
-8.000000000000000383e-04	1.400000000000000000e+05	1.236099714472425140e-263
-8.000000000000000383e-04	1.450000000000000000e+05	1.462307880994870019e-262
-8.000000000000000383e-04	1.500000000000000000e+05	1.720542949109108127e-261
-8.000000000000000383e-04	1.550000000000000000e+05	2.013416386858073151e-260
-8.000000000000000383e-04	1.600000000000000000e+05	2.343381855053389494e-259
-8.000000000000000383e-04	1.650000000000000000e+05	2.712650920680216893e-258
-8.000000000000000383e-04	1.700000000000000000e+05	3.123101795503299925e-257
-8.000000000000000383e-04	1.750000000000000000e+05	3.576183156045929910e-256
-8.000000000000000383e-04	1.800000000000000000e+05	4.072815620897022338e-255
-8.000000000000000383e-04	1.850000000000000000e+05	4.613293965212170515e-254
-8.000000000000000383e-04	1.900000000000000000e+05	5.197193564669280770e-253
-8.000000000000000383e-04	1.950000000000000000e+05	5.823284896050381949e-252
-8.000000000000000383e-04	2.000000000000000000e+05	6.489460104800600847e-251
-7.799999999999999859e-04	-2.000000000000000000e+05	0.000000000000000000e+00
-7.799999999999999859e-04	-1.950000000000000000e+05	0.000000000000000000e+00
-7.799999999999999859e-04	-1.900000000000000000e+05	0.000000000000000000e+00
-7.799999999999999859e-04	-1.850000000000000000e+05	0.000000000000000000e+00
-7.799999999999999859e-04	-1.800000000000000000e+05	0.000000000000000000e+00
-7.799999999999999859e-04	-1.750000000000000000e+05	0.000000000000000000e+00
-7.799999999999999859e-04	-1.700000000000000000e+05	0.000000000000000000e+00
-7.799999999999999859e-04	-1.650000000000000000e+05	9.881312916824930884e-324
-7.799999999999999859e-04	-1.600000000000000000e+05	1.482196937523739633e-322
-7.799999999999999859e-04	-1.550000000000000000e+05	2.307286566078621361e-321
-7.799999999999999859e-04	-1.500000000000000000e+05	3.607667345932782266e-320
-7.799999999999999859e-04	-1.450000000000000000e+05	5.609917782269018011e-319
